what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278822916388
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278822916966
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278822924756
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278822930609
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1278822933744
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278822935571
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278823036001
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278823040605
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278823041252
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1278823043840
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278823047732
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278823053444
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1278823055857
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1278823060166
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278823060565
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278823079148
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1278823081925
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1278823083371
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278823083791
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1278823084955
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1278823084982
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1278823084992
opened,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1278823085045
